Year,Quarter,Skills,Economic Activity,Sub-economic Activity,Jobs ('000),Filled Jobs ('000),Vacancies ('000),Jobs Created ('000)
2023,4,Low-skilled,Mining & Quarrying,Mining & Quarrying,9.8,9.6,0.1,0.0
2023,4,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",38.4,34.4,4.1,0.2
2023,4,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",6.0,5.2,0.8,0.1
2023,4,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",40.3,35.2,5.0,0.0
2023,4,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",25.5,23.7,1.8,0.3
2023,4,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",29.4,26.3,3.1,0.2
2023,4,Low-skilled,Manufacturing,"Electrical, electronic & optical products",23.1,20.0,3.1,0.1
2023,4,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.7,11.6,1.1,0.0
2023,4,Low-skilled,Construction,Construction,48.5,42.4,6.2,0.5
2023,4,Low-skilled,Services,Wholesale & retail trade,223.1,220.4,2.7,0.7
2023,4,Low-skilled,Services,Food & beverages and accommodation,342.7,342.4,0.4,0.1
2023,4,Low-skilled,Services,Transportation & storage,90.3,90.0,0.3,0.2
2023,4,Low-skilled,Services,Information & communication,17.7,17.3,0.5,0.1
2023,4,Low-skilled,Services,"Finance, insurance, real estate & business services",105.3,104.5,0.8,0.3
2023,4,Low-skilled,Services,Other services,70.9,70.4,0.4,0.3
2023,3,Skilled,Agriculture,Agriculture,28.2,23.9,4.3,0.2
2023,3,Skilled,Mining & Quarrying,Mining & Quarrying,23.7,23.6,0.1,0.0
2023,3,Skilled,Manufacturing,"Food processing, beverages & tobacco products",43.8,41.5,2.4,0.3
2023,3,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",10.2,9.6,0.6,0.0
2023,3,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",36.5,34.6,1.9,0.3
2023,3,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",84.1,79.7,4.5,0.6
2023,3,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",59.0,55.6,3.4,0.3
2023,3,Skilled,Manufacturing,"Electrical, electronic & optical products",151.3,142.2,9.1,0.6
